DN,nbr,dnbr,lst,mean_temp,max_temp,min_temp,prec_sum,totc,aspect,slope,Elevation
0,0.434192875394636,-0.3953020071556226,299.22297006094755,13.719101777473796,19.60264141887514,7.835562222355879,0.088642208775028,38.66185869870358,190.03893948350935,89.90925079137402,2548.1161777081747
1,0.3949955765819698,-0.3437480012371361,302.87861425864776,14.873538622846999,21.395621611167137,8.351455830400095,0.6028461045562362,23.209837924800503,211.25767198633193,89.85232757616556,2315.5396637365693
2,0.4380135693702608,-0.3973773816536608,299.57860164972533,14.345729938304824,20.31579914052375,8.375660843196176,0.6266089687772769,33.079004590941565,197.54980844419833,89.8906974370202,2430.192669491694
3,0.4104298641903852,-0.3678260154110321,301.0054884013609,14.035325098151302,20.161284298261496,7.909366037431839,18.813872717616725,34.91432485222489,200.4104692029597,89.83184624611705,2490.258672130932
4,0.48883247031982785,-0.45674598955634566,297.6759384771759,14.278727371814371,19.84089935342767,8.716555453671702,0.5947524352192538,40.546166180628894,175.83264185802858,89.86999639322033,2450.39696697746
5,0.40382328047230426,-0.36845999869196594,298.36474588986056,12.626740055730911,18.21614408467449,7.037336010039865,0.7387305503962385,49.23138787580614,170.8261060458826,89.88853769817392,2769.363576795049
6,0.3869747250015723,-0.3524773902109375,296.3103049611809,10.340507968713096,15.782318953830357,4.89869678567381,0.9804014227619048,61.59033711155952,192.54619716739523,89.97250061577975,3187.4470751738095
7,0.44540993526760564,-0.4135913957481481,294.5981092095395,9.483423787214058,14.721122499584665,4.245724794469648,1.233084027913738,64.31774124479233,239.3560948940671,89.92877331980831,3330.810812198083
