DN,nbr,dnbr,lst,mean_temp,max_temp,min_temp,prec_sum,totc,aspect,slope,Elevation
0,0.37780310637222847,0.0,298.58973243601395,13.833001640720605,19.74080384217693,7.925199398813549,0.06329129028073908,38.66185869870358,190.03893948350935,89.90925079137402,2548.1161777081747
1,0.17798166794549167,0.0,304.23239975361747,14.984253064923813,21.53796491481778,8.430541171145775,0.43329235455529375,23.209837924800503,211.25767198633193,89.85232757616556,2315.5396637365693
2,0.3411445246960932,0.0,299.12172900656907,14.458482300707239,20.444032180744053,8.472932428529468,0.4462300001422489,33.079004590941565,197.54980844419833,89.8906974370202,2430.192669491694
3,0.3632793776042512,0.0,300.4164947081728,14.150023798243486,20.31105642345708,7.9889910756261715,13.406401542925087,34.91432485222489,200.4104692029597,89.83184624611705,2490.258672130932
4,0.5190380904482726,0.0,296.39184639691837,14.39921533072185,19.988651737804517,8.80977895821302,0.42807706669169354,40.546166180628894,175.83264185802858,89.86999639322033,2450.39696697746
5,0.4397312855685581,0.0,296.4388237912131,12.751715047893105,18.371318111647646,7.13211180324144,0.5254516427529335,49.23138787580614,170.8261060458826,89.88853769817392,2769.363576795049
6,0.4214955090863095,0.0,293.40772239109157,10.454485760833332,15.912008657571429,4.996962691538095,0.6875445728101189,61.59033711155952,192.54619716739523,89.97250061577975,3187.4470751738095
7,0.4481518772236422,0.0,290.63366944342107,9.638076920054313,14.891998582460063,4.384154858904154,0.8553039785782748,64.31774124479233,239.3560948940671,89.92877331980831,3330.810812198083
