DN,nbr,dnbr,lst,mean_temp,max_temp,min_temp,prec_sum,totc,aspect,slope,Elevation,Year,nbr_prefire,nbr_change
0,0.3778031063722284,0.0,298.58973243601395,13.833001640720603,19.74080384217693,7.925199398813549,0.063291290280739,38.66185869870358,190.03893948350932,89.90925079137402,2548.1161777081747,2011,0.3778031063722284,0.0
1,0.1779816679454916,0.0,304.23239975361747,14.984253064923813,21.53796491481778,8.430541171145775,0.4332923545552937,23.209837924800503,211.25767198633196,89.85232757616556,2315.5396637365693,2011,0.1779816679454916,0.0
2,0.3411445246960932,0.0,299.12172900656907,14.45848230070724,20.444032180744053,8.472932428529468,0.4462300001422489,33.079004590941565,197.54980844419836,89.8906974370202,2430.192669491694,2011,0.3411445246960932,0.0
3,0.3632793776042512,0.0,300.4164947081728,14.150023798243486,20.31105642345708,7.9889910756261715,13.406401542925089,34.91432485222489,200.4104692029597,89.83184624611705,2490.258672130932,2011,0.3632793776042512,0.0
4,0.5190380904482726,0.0,296.3918463969184,14.39921533072185,19.98865173780452,8.80977895821302,0.4280770666916935,40.546166180628894,175.83264185802858,89.86999639322033,2450.39696697746,2011,0.5190380904482726,0.0
5,0.4397312855685581,0.0,296.4388237912131,12.751715047893104,18.371318111647646,7.13211180324144,0.5254516427529335,49.23138787580614,170.8261060458826,89.88853769817392,2769.363576795049,2011,0.4397312855685581,0.0
6,0.4214955090863095,0.0,293.4077223910916,10.454485760833332,15.912008657571429,4.996962691538095,0.6875445728101189,61.59033711155952,192.54619716739523,89.97250061577975,3187.447075173809,2011,0.4214955090863095,0.0
7,0.4481518772236422,0.0,290.63366944342107,9.638076920054312,14.891998582460063,4.384154858904154,0.8553039785782748,64.31774124479233,239.3560948940671,89.92877331980831,3330.810812198083,2011,0.4481518772236422,0.0
0,0.3938939529473684,-0.0160446820829787,299.5433504956992,13.569603834688015,19.474004680475364,7.665203036002575,0.0889633820103023,38.66185869870358,190.03893948350932,89.90925079137402,2548.1161777081747,2012,0.3778031063722284,0.016090846575139983
1,0.4623376713543827,-0.2842673384357524,302.0979447071867,14.725191562765,21.287463029817783,8.162920234967798,0.6225648604275841,23.209837924800503,211.25767198633196,89.85232757616556,2315.5396637365693,2012,0.1779816679454916,0.2843560034088911
2,0.4744349655355622,-0.1335537135786793,299.3895543802741,14.191059468336798,20.180041696981636,8.2020773202524,0.6387465584403539,33.079004590941565,197.54980844419836,89.8906974370202,2430.192669491694,2012,0.3411445246960932,0.133290440839469
3,0.3759999924415824,-0.0129325597480256,301.3024453510938,13.885426750830614,20.04147762913093,7.729375898149975,18.623959618439443,34.91432485222489,200.4104692029597,89.83184624611705,2490.258672130932,2012,0.3632793776042512,0.012720614837331168
4,0.3879345639886074,0.1314181117493935,298.23276629004386,14.137223376804116,19.719066658193828,8.55538010450803,0.5934966166742207,40.546166180628894,175.83264185802858,89.86999639322033,2450.39696697746,2012,0.5190380904482726,-0.13110352645966528
5,0.1205323755114933,0.3195994461793924,301.5368776706933,12.473489252261857,18.08316596341264,6.863812413513261,0.7304184894579651,49.23138787580614,170.8261060458826,89.88853769817392,2769.363576795049,2012,0.4397312855685581,-0.3191989100570648
6,-0.0701329343934523,0.4920588102583333,301.1228568304507,10.167495442676788,15.629641947997024,4.705348824178572,0.9639116383666668,61.59033711155952,192.54619716739523,89.97250061577975,3187.447075173809,2012,0.4214955090863095,-0.4916284434797618
7,-0.2456025229009584,0.6944561791022363,299.8880840272131,9.307342333003197,14.529353247827476,4.085330941092652,1.2113921769552716,64.31774124479233,239.3560948940671,89.92877331980831,3330.810812198083,2012,0.4481518772236422,-0.6937544001246005
0,0.4163207086613998,-0.0438633026537019,300.08721257226705,13.798402352969989,19.733510411077827,7.863294259632587,0.0716524754490481,38.66185869870358,190.03893948350932,89.90925079137402,2548.1161777081747,2013,0.3778031063722284,0.03851760228917139
1,0.3962678172149488,-0.2181459483372166,303.5514378988831,14.949827612092836,21.51914198680176,8.380513181976594,0.5057734416409048,23.209837924800503,211.25767198633196,89.85232757616556,2315.5396637365693,2013,0.1779816679454916,0.2182861492694572
2,0.4278356008617315,-0.0894555985731422,300.32653972393365,14.42728692827782,20.444512245461432,8.410061550589155,0.5177207825034643,33.079004590941565,197.54980844419836,89.8906974370202,2430.192669491694,2013,0.3411445246960932,0.08669107616563831
3,0.3947022001867731,-0.0335015225789233,301.93410973145825,14.110261731834967,20.288293739423946,7.932229663357222,14.870538090715185,34.91432485222489,200.4104692029597,89.83184624611705,2490.258672130932,2013,0.3632793776042512,0.03142282258252188
4,0.4666991319639044,0.0518355790687579,298.9564151007075,14.362199604745005,19.976187841831628,8.748211354988392,0.4749693911516659,40.546166180628894,175.83264185802858,89.86999639322033,2450.39696697746,2013,0.5190380904482726,-0.05233895848436826
5,0.3337561949585745,0.1098077173109822,300.08815257657494,12.70876565354091,18.364467386712747,7.053063879614692,0.6004571571805175,49.23138787580614,170.8261060458826,89.88853769817392,2769.363576795049,2013,0.4397312855685581,-0.10597509060998361
6,0.276247707441896,0.1484020485061162,297.26811685504885,10.4164513056,15.92818999345536,4.904712602869048,0.7943805058708334,61.59033711155952,192.54619716739523,89.97250061577975,3187.447075173809,2013,0.4214955090863095,-0.14524780164441353
7,0.2950030966206897,0.1700430322887323,293.0768400099315,9.591861224664536,14.894897121853036,4.2888256918115015,0.9973646387827476,64.31774124479233,239.3560948940671,89.92877331980831,3330.810812198083,2013,0.4481518772236422,-0.1531487806029525
0,0.3989813339483668,-0.0213832663183655,299.6395984493682,13.745502410403809,19.602966318783317,7.888038399237178,0.06171102381243,38.66185869870358,190.03893948350932,89.90925079137402,2548.1161777081747,2014,0.3778031063722284,0.02117822757613841
1,0.3034540298451146,-0.1253970747990889,304.4440423552743,14.89538469332171,21.39839775117813,8.392371507885485,0.4266256721936852,23.209837924800503,211.25767198633196,89.85232757616556,2315.5396637365693,2014,0.1779816679454916,0.125472361899623
2,0.4050335761321385,-0.0640675890315855,300.11224649877147,14.37227323769071,20.30867262396189,8.435873782804533,0.4374601247875032,33.079004590941565,197.54980844419836,89.8906974370202,2430.192669491694,2014,0.3411445246960932,0.06388905143604529
3,0.3562884926439237,0.0068071635912182,301.9218201025582,14.056838908548896,20.160463577594285,7.953214175044136,12.970722751395158,34.91432485222489,200.4104692029597,89.83184624611705,2490.258672130932,2014,0.3632793776042512,-0.006990884960327515
4,0.4886846559954478,0.0305502502232373,297.7190218378146,14.306227265337355,19.84154737732833,8.770907065081682,0.4161536223617688,40.546166180628894,175.83264185802858,89.86999639322033,2450.39696697746,2014,0.5190380904482726,-0.030353434452824846
5,0.3765057144945871,0.0632889122083064,298.6540697199803,12.656805061330816,18.20588810489953,7.107722161454912,0.5192804790045009,49.23138787580614,170.8261060458826,89.88853769817392,2769.363576795049,2014,0.4397312855685581,-0.06322557107397103
6,0.3427534009125749,0.0783394523679471,296.4418883025721,10.372070606483334,15.7609351291875,4.9832062005678575,0.6790982811607144,61.59033711155952,192.54619716739523,89.97250061577975,3187.447075173809,2014,0.4214955090863095,-0.07874210817373462
7,0.346153046141479,0.1017144796527331,293.75892529177634,9.541956095198085,14.67550392683706,4.40840838227476,0.8429786815367413,64.31774124479233,239.3560948940671,89.92877331980831,3330.810812198083,2014,0.4481518772236422,-0.10199883108216318
0,0.4081944187781042,-0.0306155656328813,300.3008200901658,13.794222298658903,19.59870993641601,7.989734768413437,0.0862899559619261,38.66185869870358,190.03893948350932,89.90925079137402,2548.1161777081747,2015,0.3778031063722284,0.03039131240587578
